latitude,longitude,dest_latitude,dest_longitude,time
37.63321638,127.07770554,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25519.00
37.63321626,127.077707,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25519.20
37.63321614,127.07770834,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25519.40
37.63321603,127.07770975,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25519.60
37.63321578,127.07771259,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25520.00
37.63321565,127.07771397,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25520.20
37.63321555,127.07771545,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25520.40
37.6332154,127.07771686,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25520.60
37.63321528,127.07771831,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25520.80
37.63321513,127.07771975,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25521.00
37.63321502,127.07772117,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25521.20
37.63321485,127.07772261,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25521.40
37.63321458,127.07772545,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25521.80
37.63321447,127.0777269,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25522.00
37.63321431,127.07772829,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25522.20
37.63321414,127.07772977,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25522.40
37.63321401,127.07773118,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25522.60
37.63321385,127.07773264,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25522.80
37.6332137,127.07773406,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25523.00
37.63321356,127.07773548,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25523.20
37.63321342,127.07773691,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25523.40
37.63321327,127.07773833,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25523.60
37.63321296,127.07774114,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25524.00
37.63321278,127.07774256,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25524.20
37.6332126,127.07774398,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25524.40
37.63321238,127.0777454,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25524.60
37.63321224,127.07774683,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25524.80
37.63321183,127.07774969,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25525.20
37.63321162,127.07775112,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25525.40
37.63321138,127.07775254,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25525.60
37.63321118,127.07775396,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25525.80
37.63321095,127.07775537,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25526.00
37.63321071,127.07775676,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25526.20
37.63321051,127.0777582,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25526.40
37.63321026,127.07775964,"[37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203]","[127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801]",25526.60
